index,id,title,artists,popularity,release_date,duration_s,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,time_signature,label,cluster_label
120,1CpRJLarXSUho5AopXxNQj,Pa Tra Rkt,Pusho DJ,53,2021-10-20,191.125,0.748,0.748,1,6.05,1,0.0594,0.0,0.0679,0.603,0.544,89.99,4,0,0
7,5coTcHT7K8O3G97y9T4LOU,Lonely People,['America'],61,1974-01-01,150.226,0.557,0.473,7,9.294,1,0.261,3.95e-05,0.0262,0.0658,0.56,79.368,4,1,0
278,58IBUjmFGPvmNm6bzM50Y0,Ripples - 2007 - Remaster,['Genesis'],39,1976-02-02,485.466,0.259,0.35,6,10.084,0,0.405,3.25e-05,0.0301,0.0457,0.147,138.843,4,1,1
123,7Dk8r4VR5NoveUvTiCKEXC,Pegao,Camilo,65,2022-05-19,160.733,0.807,0.499,1,4.733,0,0.162,0.0,0.0616,0.104,0.867,90.037,4,0,0
138,0cOa970mzTWAxKtltpkpLc,Miénteme,Maria Becerra,78,2021-04-29,165.275,0.85,0.541,2,4.522,1,0.161,5.01e-06,0.0674,0.286,0.916,92.003,4,0,0
51,02Dg2fm8qWkrvG8gbIrIFA,HASTA LUEGO,Jonna Torres,27,2023-02-17,178.286,0.747,0.515,0,7.521,1,0.306,0.0,0.188,0.1,0.228,139.81,4,0,0
125,3fEGF1HNz2sFuRddmV8UYG,Desesperados - Remix,Maxi Jayat,26,2021-12-21,188.7,0.828,0.62,11,8.477,1,0.136,2.83e-06,0.0453,0.102,0.712,100.036,4,0,0
377,5pH0OdNpE7qvr5w8gtwHSW,Something to Remember,['Madonna'],26,1995-11-17,304.333,0.542,0.382,4,8.851,0,0.752,6.65e-05,0.0241,0.105,0.113,137.943,3,1,1
42,1kQqiC1rS1FiuVpeBKN0QN,Rakata,Wisin & Yandel,67,2005-01-01,172.68,0.872,0.786,1,5.473,1,0.0348,0.0,0.142,0.0776,0.722,96.002,4,0,0
106,49Cvf1JtBxIiTOrfySIcgo,Toma Tussi - Turreo Edit,Fran Tbm,10,2022-04-01,159.263,0.649,0.704,8,6.823,1,0.0655,2.89e-05,0.205,0.143,0.618,135.426,3,0,0
32,7KzQBU77MuR0aKzsQGYKGd,CUMBIA MAFIA 420,DT.Bilardo,42,2022-12-29,192.637,0.698,0.798,1,3.77,1,0.235,0.0,0.132,0.0839,0.501,80.044,4,0,0
0,04f13iELcsYpY2yeLiAcfq,El Amante (feat. Ozuna & Bad Bunny) - Remix,Bad Bunny,60,2017-06-26,225.52,0.803,0.767,8,5.377,1,0.311,0.0,0.0535,0.073,0.598,89.968,4,0,0
212,2vlrbRSfoAZTIorWEl5Eh5,In And Out Of Love,['Robin Gibb'],16,1983-10-01,234.64,0.535,0.414,0,13.147,1,0.544,0.000248,0.0282,0.147,0.481,110.148,4,1,1
90,2GVahxIzxivfRZc8lR39Ms,FERNET,Quevedo,74,2022-06-01,192.668,0.71,0.738,6,4.077,0,0.156,0.0,0.0861,0.0661,0.608,98.958,4,0,0
80,4zvafiG46drH8QsOXWZieC,Fuleteo,Kaleb Di Masi,45,2022-04-25,133.531,0.891,0.569,1,10.965,0,0.137,2.27e-05,0.316,0.264,0.886,79.999,4,0,0
